序号,价值观,定义
1,发现,找出新的东西
2,正确性,正确传达自己的意见或信念
3,达成,完成一些重要的事
4,冒险,体验新鲜事物
5,魅力,保持身体的魅力
6,权力,负责任地领导他人
7,影响,控制他人
8,自律,不依赖他人,自己做决定
9,美,欣赏身边的美好事物
10,胜利,战胜自己或对手
11,挑战,处理较难的工作或问题
12,变化,过丰富多彩的人生
13,闲适,没有压力、悠闲地生活
14,誓约,绝不打破约定或誓言
15,同情心,同情、帮助他人
16,贡献,对世界做出贡献
17,助人,帮助他人
18,礼貌,礼貌、真诚地对待他人
19,创造,产生新的想法
20,信赖,成为有信用、能被信赖的人
21,义务,尽到自己的义务与责任
22,调和,营造和谐环境
23,兴奋,充满紧张、刺激的人生
24,诚实,不撒谎、真诚地生活
25,名声,有名气,被人认可
26,家族,组建幸福美满的家庭
27,强健,保持结实强壮的体格
28,灵活,轻松适应新环境
29,体谅,体谅他人
30,友情,结交亲密、互助的朋友
31,快乐,通过游玩享受人生
32,大方,与他人共享
33,信念,沿着自己认为正确的方向行动
34,信教,思考超越自己意志的存在
35,成长,向好的方向变化,保持成长
36,健康,健康生活
37,合作,与他人合作完成某事
38,正直,不撒谎、诚信
39,希望,对未来抱有希望
40,谦逊,小心谨慎的生活态度
41,幽默,看到人生及世界幽默的一面
42,独立,不依靠他人
43,勤勉,拼尽全力工作
44,平和,维持内心的稳定
45,亲密,与少数人建立亲密关系
46,公平,公平对待所有人
47,知识,学习、创造有价值的知识
48,余暇,轻松愉快地度过自己的时间
49,被爱,被亲近的人所爱
50,爱慕,爱慕某人
51,熟练,总能熟练掌握工作技巧
52,活在当下,集中精力,过好当下
53,谨慎,程度适中,避免过度
54,忠诚,找到互相爱着对方的那个唯一的人
55,反抗,质疑并挑战权威和规则
56,善于照料,照顾并培养他人
57,开放,以开放的心态面对新的体验、想法和选择
58,秩序,井井有条地生活
59,热情,对某些活动抱有强烈的感情
60,高兴,心情愉悦
61,人气,被很多人喜欢
62,目的,思考人生意义,定下人生方向
63,合理,追求理性与伦理
64,现实,活在当下,勇于实践
65,责任,负责任地行动
66,风险,承担风险,把握机会
67,浪漫,谈火热的恋爱
68,安心,有安全感
69,接纳,接纳真实的自己和他人
70,自制,自我控制
71,自尊心,自我肯定
72,自我认知,对自己有着深刻的理解
73,献身,服侍某人
74,性爱,富有激情、满足感的性生活
75,极简,过最低限度的、极简主义的生活
76,孤独,远离他人,拥有个人的时间与空间
77,精神性,精神的成长、成熟
78,安定,安稳、固定的人生
79,宽容,尊重、接受与自己不同的存在
80,传统,尊重过去传承下来的习惯
81,美德,过着有道德的、正确的生活
82,富裕,成为有钱人
83,和平,维护世界和平
84,发挥,发挥自己120%的能力
85,真理,真理、真实、哲学
86,庄重,庄严、稳重
87,原本的样子,不做作,保持本色
88,沉迷,专注于眼前的事物
89,努力,为了某个目标而拼尽全力
90,领会,深思熟虑后做决定
91,自由,不受任何约束地生活
92,表现,向世界展示自己
93,同一性,比起自己,更能感受到与世间万物的联系
94,钻研,经常寻找更好的方法
95,专业,不盲从,全力以赴
96,玩味,深刻理解眼前的事物
97,宽裕,在时间、金钱等方面有富余
98,克服,克服困难,取得成长
99,同伴,与有着相同目标的伙伴一起奋斗
100,简朴,简单、朴素、畅快地生活
